time,low,high,open,close,volume,difficulty,sentiment_medio,google_trend,greed_and_fear
2022-07-03,18755.75,19622.33,19225.54,19291.33,11826.36538269,29570168636358.0,0.0733169268938897,41.0,11
2022-07-02,18955.02,19422.02,19252.76,19224.03,10707.74160684,29570168636358.0,0.0457492685830368,42.0,14
2022-07-01,18938.33,20879.99,19985.62,19252.76,32977.00052272,29570168636358.0,0.0704195539353434,49.0,11
2022-06-30,18603.0,20143.53,20098.0,19985.62,28361.45876221,29570168636358.0,0.0490360414110414,49.0,11
2022-06-29,19823.43,20410.91,20253.5,20094.79,18278.45185883,29570168636358.0,0.061301385186974,44.0,13
2022-06-28,20164.7,21189.99,20722.95,20252.89,17658.6604167,29570168636358.0,0.0593092595097803,43.0,10
2022-06-27,20500.0,21520.0,21024.85,20725.17,17440.94268269,29570168636358.0,-0.0002216692688004,43.0,12
2022-06-26,20944.68,21866.0,21474.14,21027.92,11145.88852674,29570168636358.0,0.0747785515611602,39.0,14
2022-06-25,20900.0,21594.5,21221.13,21478.04,12877.9734191,29570168636358.0,0.0302155399283529,39.0,14
2022-06-24,20712.54,21537.46,21104.45,21223.72,21361.7652594,29570168636358.0,0.0812806896801112,47.0,11
2022-06-23,19869.41,21211.97,19970.07,21104.45,21460.76883515,29570168636358.0,0.06968248486577,49.0,11
2022-06-22,19751.51,20873.52,20699.63,19968.46,26569.63207564,30139562945443.56,0.0758563031965384,59.0,11
2022-06-21,20328.03,21711.0,20547.68,20696.96,23770.75139634,30283293547737.0,0.0581863462724458,63.0,9
2022-06-20,19603.8,21041.62,20552.39,20549.75,24904.11647858,30283293547737.0,0.0721294683317239,72.0,9
2022-06-19,17934.26,20795.11,18944.66,20552.44,29383.34368967,30283293547737.0,0.068632835518658,92.0,6
2022-06-18,17567.45,20750.0,20447.86,18948.89,52894.97568032,30283293547737.0,0.056643625620271,99.0,6
2022-06-17,20209.73,21338.7,20371.96,20447.86,25560.04919013,30283293547737.0,0.0637759014742313,62.0,9
2022-06-16,20200.0,22974.1,22562.33,20372.0,37587.2170128,30283293547737.0,0.070217609407228,76.0,7
2022-06-15,20071.0,22769.12,22120.23,22562.33,62040.45345538,30283293547737.0,0.0635240562358763,92.0,7
2022-06-14,20816.4,23299.22,22460.97,22120.25,47382.80135514,30283293547737.0,0.0480529307635585,91.0,8
2022-06-13,21920.0,26869.35,26555.17,22460.97,81724.84469418,30283293547737.0,0.0391202311787037,100.0,11
2022-06-12,26532.95,28516.33,28395.03,26555.2,18661.94193886,30283293547737.0,0.0459434263791562,37.0,14
2022-06-11,28080.01,29411.11,29058.79,28388.63,13276.76193059,30283293547737.0,0.0844252189929503,29.0,12
2022-06-10,28821.15,30337.83,30079.59,29063.11,23208.77056569,,,,13
2022-06-09,29904.0,30679.72,30182.92,30079.62,13334.23491125,,,,11
2022-06-08,29829.98,31306.32,31111.0,30177.0,16775.53319148,,,,17
2022-06-07,29200.0,31549.21,31349.59,31106.9,23234.0811685,,,,15
2022-06-06,29866.44,31745.0,29899.62,31343.61,20384.91220986,,,,13
2022-06-05,29505.65,30158.44,29837.56,29901.54,5482.4963235,,,,10
2022-06-04,29454.14,29952.0,29672.77,29843.18,6390.75942952,,,,14
